District,Province,Year,Setting,Pass_Rate_Pct,Number_of_Students,Number_of_Schools,Pupil_Teacher_Ratio,Textbook_Availability_Index,ICT_Resource_Index,School_Infrastructure_Index,Proportion_Schools_With_Science_Labs,Poverty_Incidence_Pct,Adult_Literacy_Rate_Pct,Unemployment_Rate_Pct,Avg_Household_Income_USD,Youth_Population_Density,Rural_Urban,Distance_to_Exam_Center_km,Previous_Year_Pass_Rate_Pct,Grade7_Pass_Rate_Pct
Bulawayo,Bulawayo,2015,June,77.0,27865,99,30.0,0.74,0.76,0.82,0.85,36.5,90.6,22.4,533.0,402.7,Urban,2.7,79.6,74.6
Bulawayo,Bulawayo,2015,November,87.0,51792,100,30.0,0.73,0.68,0.82,0.83,36.1,91.9,24.1,565.0,410.0,Urban,2.6,77.0,79.7
Bulawayo,Bulawayo,2016,June,75.6,27363,100,28.9,0.76,0.75,0.84,0.81,37.4,90.7,20.3,523.0,417.2,Urban,2.5,87.0,79.8
Bulawayo,Bulawayo,2016,November,86.1,52726,101,27.5,0.76,0.79,0.85,0.82,36.0,91.2,21.4,524.0,410.8,Urban,2.6,75.6,77.4
Bulawayo,Bulawayo,2017,June,85.7,28155,100,27.4,0.78,0.78,0.88,0.82,37.4,93.2,21.9,550.0,418.5,Urban,2.6,86.1,75.4
Bulawayo,Bulawayo,2017,November,81.7,51916,101,29.5,0.8,0.79,0.87,0.87,37.2,92.7,23.6,576.0,399.6,Urban,2.4,85.7,75.4
Bulawayo,Bulawayo,2018,June,82.0,27963,102,29.1,0.77,0.77,0.91,0.85,34.4,91.0,21.6,567.0,429.6,Urban,2.6,81.7,78.2
Bulawayo,Bulawayo,2018,November,84.7,53633,101,27.6,0.79,0.81,0.9,0.83,34.7,91.7,23.1,574.0,404.6,Urban,2.5,82.0,76.7
Bulawayo,Bulawayo,2019,June,84.6,28406,103,28.2,0.81,0.83,0.88,0.82,34.8,91.7,23.9,561.0,406.6,Urban,2.5,84.7,78.7
Bulawayo,Bulawayo,2019,November,86.4,54441,102,28.4,0.79,0.79,0.91,0.87,36.4,94.0,24.2,616.0,411.7,Urban,2.5,84.6,79.5
Bulawayo,Bulawayo,2020,June,79.9,29840,103,30.4,0.79,0.81,0.89,0.81,39.6,93.7,27.1,533.0,430.8,Urban,2.4,86.4,77.3
Bulawayo,Bulawayo,2020,November,82.3,53905,103,30.2,0.81,0.82,0.9,0.88,40.6,94.5,28.6,500.0,435.9,Urban,2.4,79.9,73.0
Bulawayo,Bulawayo,2021,June,80.0,29405,104,29.4,0.78,0.78,0.91,0.9,40.1,91.9,25.2,537.0,442.2,Urban,2.4,82.3,78.7
Bulawayo,Bulawayo,2021,November,83.2,54888,104,29.2,0.82,0.82,0.9,0.84,38.3,92.0,26.3,530.0,428.6,Urban,2.5,80.0,78.9
Bulawayo,Bulawayo,2022,June,80.9,31030,105,26.8,0.8,0.94,0.94,0.86,34.5,95.0,23.0,599.0,425.1,Urban,2.4,83.2,77.6
Bulawayo,Bulawayo,2022,November,88.2,55746,106,28.1,0.8,0.88,0.93,0.91,33.1,95.1,21.7,609.0,444.1,Urban,2.5,80.9,81.6
Bulawayo,Bulawayo,2023,June,84.4,31538,107,26.2,0.82,0.93,0.94,0.88,33.7,93.4,22.9,605.0,447.9,Urban,2.4,88.2,82.4
Bulawayo,Bulawayo,2023,November,83.8,58035,107,26.6,0.87,0.92,0.92,0.91,32.7,95.2,23.3,656.0,431.2,Urban,2.5,84.4,80.7
Bulawayo,Bulawayo,2024,June,86.8,31958,107,25.8,0.89,0.95,0.95,0.91,33.3,93.7,19.9,609.0,448.5,Urban,2.4,83.8,83.5
Bulawayo,Bulawayo,2024,November,95.1,57847,107,25.8,0.85,0.95,0.92,0.87,33.6,93.2,21.5,611.0,455.0,Urban,2.5,86.8,82.4
Harare Urban,Harare,2015,June,72.8,19906,54,21.0,0.75,0.53,0.68,0.67,18.2,94.1,22.9,331.0,594.0,Urban,6.1,70.9,62.2
Harare Urban,Harare,2015,November,76.8,36121,53,20.3,0.72,0.55,0.68,0.72,18.2,93.6,22.4,326.0,597.9,Urban,6.4,72.8,65.5
Harare Urban,Harare,2016,June,67.1,19770,54,20.3,0.77,0.58,0.68,0.7,19.0,93.1,24.4,322.0,584.6,Urban,6.3,76.8,62.2
Harare Urban,Harare,2016,November,75.6,37902,54,19.9,0.72,0.56,0.7,0.67,18.5,95.4,21.0,312.0,590.6,Urban,6.5,67.1,62.5
Harare Urban,Harare,2017,June,74.9,20267,55,19.7,0.77,0.61,0.68,0.74,17.8,96.6,23.0,339.0,576.2,Urban,6.1,75.6,64.7
Harare Urban,Harare,2017,November,74.0,37040,54,20.7,0.76,0.57,0.66,0.69,18.5,93.7,24.2,341.0,596.4,Urban,6.1,74.9,66.2
Harare Urban,Harare,2018,June,69.8,20981,55,19.8,0.73,0.58,0.72,0.7,17.0,96.8,23.2,332.0,575.7,Urban,6.4,74.0,65.6
Harare Urban,Harare,2018,November,73.1,38122,55,19.8,0.77,0.61,0.71,0.69,17.1,97.1,22.3,321.0,604.6,Urban,6.1,69.8,66.3
Harare Urban,Harare,2019,June,74.5,20833,55,19.7,0.76,0.65,0.7,0.7,17.5,95.7,24.4,340.0,626.4,Urban,6.4,73.1,69.2
Harare Urban,Harare,2019,November,77.1,38389,55,20.4,0.78,0.63,0.69,0.69,17.6,95.0,24.5,336.0,586.0,Urban,6.1,74.5,67.1
Harare Urban,Harare,2020,June,66.2,21899,56,21.7,0.77,0.62,0.73,0.7,21.5,95.2,28.0,311.0,619.9,Urban,5.9,77.1,65.9
Harare Urban,Harare,2020,November,75.7,39172,56,22.0,0.72,0.64,0.72,0.73,21.8,96.5,31.4,294.0,589.4,Urban,5.9,66.2,60.5
Harare Urban,Harare,2021,June,70.1,21211,56,20.5,0.8,0.65,0.74,0.76,21.9,94.5,30.2,313.0,596.9,Urban,5.8,75.7,62.7
Harare Urban,Harare,2021,November,70.1,41411,56,20.7,0.79,0.66,0.74,0.77,22.0,95.7,28.4,319.0,616.3,Urban,6.3,70.1,61.0
Harare Urban,Harare,2022,June,71.1,22052,57,19.8,0.79,0.69,0.72,0.71,16.8,95.3,23.5,353.0,636.7,Urban,6.2,70.1,66.3
Harare Urban,Harare,2022,November,82.1,41403,56,19.7,0.77,0.68,0.75,0.73,15.6,98.0,21.7,363.0,614.6,Urban,6.1,71.1,66.8
Harare Urban,Harare,2023,June,71.0,22850,57,19.0,0.81,0.7,0.75,0.73,15.8,94.7,25.1,388.0,640.1,Urban,6.0,82.1,68.6
Harare Urban,Harare,2023,November,81.4,42227,56,20.2,0.83,0.78,0.76,0.75,16.2,97.4,24.7,377.0,617.6,Urban,5.9,71.0,68.7
Harare Urban,Harare,2024,June,71.7,22671,58,19.4,0.83,0.76,0.75,0.73,15.2,96.7,23.8,370.0,662.4,Urban,5.7,81.4,66.4
Harare Urban,Harare,2024,November,77.5,41330,58,18.9,0.86,0.78,0.76,0.76,14.9,96.2,23.0,383.0,632.0,Urban,6.2,71.7,65.7
Chitungwiza,Harare,2015,June,72.2,22518,114,30.4,0.79,0.55,0.69,0.66,33.5,93.5,10.9,295.0,717.4,Urban,3.1,72.9,83.6
Chitungwiza,Harare,2015,November,83.3,42133,113,30.8,0.87,0.52,0.7,0.66,33.4,91.8,9.1,291.0,703.7,Urban,3.1,72.2,87.0
Chitungwiza,Harare,2016,June,70.6,22817,115,30.5,0.87,0.52,0.76,0.66,32.9,91.9,11.2,307.0,747.4,Urban,3.2,83.3,85.5
Chitungwiza,Harare,2016,November,76.1,41513,113,30.8,0.84,0.57,0.7,0.67,33.7,94.8,11.8,300.0,751.3,Urban,3.2,70.6,82.6
Chitungwiza,Harare,2017,June,79.2,22533,116,29.0,0.86,0.55,0.76,0.7,34.7,93.4,8.6,333.0,717.9,Urban,3.3,76.1,86.6
Chitungwiza,Harare,2017,November,83.1,44039,116,29.9,0.9,0.53,0.72,0.69,34.1,94.0,8.5,337.0,762.1,Urban,3.2,79.2,83.3
Chitungwiza,Harare,2018,June,73.0,23462,117,29.8,0.87,0.6,0.75,0.69,32.8,92.5,9.1,314.0,782.2,Urban,3.2,83.1,88.1
