Feature,Importance
Proportion_Schools_With_Science_Labs,0.6931213599590169
Avg_Household_Income_USD,0.0848132625797884
Youth_Population_Density,0.0360630875652202
Number_of_Schools,0.03348273994294741
Distance_to_Exam_Center_km,0.025491674697188625
Pupil_Teacher_Ratio,0.019556274571443554
Number_of_Students,0.016256451811964397
School_Infrastructure_Index,0.015783504841788597
Adult_Literacy_Rate_Pct,0.013380540842672884
Poverty_Incidence_Pct,0.013190303658242775
Grade7_Pass_Rate_Pct,0.01264304969348753
Textbook_Availability_Index,0.012454773758921078
Setting_Nov,0.00882195956933857
Unemployment_Rate_Pct,0.007255030923589595
ICT_Resource_Index,0.0035250123471500653
Is_Urban,0.0021842586250080637
Year,0.0019767146122314145
